all: b'\x00\x00\x00'
...BCS says: c1e98f
....BCS says: 5200005ffffffe
....BCS says: 5200015ffffffe
..........Volts: 309.7	Amps: -17.5	Watts: -5419
..........Volts: 309.8	Amps: -17.5	Watts: -5421
..........Volts: 309.0	Amps: -17.5	Watts: -5407
..........Volts: 309.9	Amps: -17.6	Watts: -5454
..........Volts: 309.7	Amps: -17.6	Watts: -5450
..........Volts: 309.7	Amps: -17.5	Watts: -5419
..........Volts: 309.4	Amps: -17.5	Watts: -5414
...........Volts: 309.7	Amps: -17.6	Watts: -5450
..........Volts: 309.5	Amps: -17.5	Watts: -5416
..........Volts: 310.2	Amps: -17.6	Watts: -5459
..........Volts: 309.7	Amps: -17.6	Watts: -5450
..........Volts: 309.9	Amps: -17.6	Watts: -5454
.........Volts: 310.1	Amps: -17.6	Watts: -5457
..........Volts: 309.6	Amps: -17.5	Watts: -5418
..........Volts: 310.0	Amps: -17.5	Watts: -5425
..........Volts: 309.4	Amps: -17.5	Watts: -5414
..........Volts: 309.5	Amps: -17.5	Watts: -5416
..........Volts: 309.9	Amps: -17.5	Watts: -5423
..........Volts: 309.5	Amps: -17.6	Watts: -5447
..........Volts: 309.9	Amps: -17.5	Watts: -5423
..........Volts: 309.8	Amps: -17.5	Watts: -5421
..........Volts: 310.2	Amps: -17.5	Watts: -5428
..........Volts: 309.9	Amps: -17.5	Watts: -5423
..........Volts: 310.0	Amps: -17.5	Watts: -5425
..........Volts: 309.7	Amps: -17.5	Watts: -5419
..........Volts: 310.0	Amps: -17.5	Watts: -5425
..........Volts: 310.1	Amps: -17.6	Watts: -5457
...........Volts: 310.2	Amps: -17.5	Watts: -5428
..........Volts: 309.7	Amps: -17.5	Watts: -5419
..........Volts: 309.9	Amps: -17.5	Watts: -5423
..........Volts: 309.9	Amps: -17.5	Watts: -5423
..........Volts: 310.0	Amps: -17.5	Watts: -5425
..........Volts: 310.2	Amps: -17.5	Watts: -5428
..........Volts: 310.4	Amps: -17.5	Watts: -5432
...........Volts: 310.3	Amps: -17.5	Watts: -5430
..........Volts: 310.4	Amps: -17.5	Watts: -5432
.........Volts: 310.7	Amps: -17.5	Watts: -5437
..........Volts: 310.4	Amps: -17.5	Watts: -5432
..........Volts: 310.3	Amps: -17.5	Watts: -5430
..........Volts: 310.4	Amps: -17.5	Watts: -5432
..........Volts: 310.1	Amps: -17.5	Watts: -5426
..........Volts: 310.1	Amps: -17.5	Watts: -5426
..........Volts: 310.2	Amps: -17.4	Watts: -5397
..........Volts: 310.0	Amps: -17.5	Watts: -5425
.........Volts: 310.3	Amps: -17.5	Watts: -5430
..........Volts: 310.3	Amps: -17.5	Watts: -5430
..........Volts: 309.5	Amps: -17.5	Watts: -5416
..........Volts: 310.3	Amps: -17.5	Watts: -5430
..........Volts: 310.2	Amps: -17.4	Watts: -5397
..........Volts: 310.3	Amps: -17.5	Watts: -5430
..........Volts: 310.1	Amps: -17.5	Watts: -5426
..........Volts: 310.2	Amps: -17.5	Watts: -5428
..........Volts: 310.3	Amps: -17.5	Watts: -5430
..........Volts: 310.1	Amps: -17.5	Watts: -5426
..........Volts: 310.4	Amps: -17.5	Watts: -5432
..........Volts: 310.8	Amps: -17.4	Watts: -5407
..........Volts: 310.6	Amps: -17.5	Watts: -5435
..........Volts: 310.5	Amps: -17.5	Watts: -5433
..........Volts: 310.6	Amps: -17.5	Watts: -5435
..........Volts: 310.4	Amps: -17.5	Watts: -5432
..........Volts: 310.8	Amps: -17.5	Watts: -5439
..........Volts: 310.2	Amps: -17.5	Watts: -5428
.........Volts: 310.8	Amps: -17.5	Watts: -5439
..........Volts: 310.3	Amps: -17.5	Watts: -5430
..........Volts: 310.4	Amps: -17.4	Watts: -5400
..........Volts: 310.6	Amps: -17.5	Watts: -5435
...........Volts: 310.0	Amps: -17.5	Watts: -5425
..........Volts: 310.7	Amps: -17.5	Watts: -5437
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 310.6	Amps: -17.5	Watts: -5435
..........Volts: 310.5	Amps: -17.4	Watts: -5402
..........Volts: 310.5	Amps: -17.5	Watts: -5433
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 310.7	Amps: -17.5	Watts: -5437
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 310.8	Amps: -17.4	Watts: -5407
..........Volts: 310.4	Amps: -17.4	Watts: -5400
..........Volts: 311.2	Amps: -17.4	Watts: -5414
..........Volts: 311.1	Amps: -17.4	Watts: -5413
..........Volts: 310.6	Amps: -17.4	Watts: -5404
..........Volts: 310.8	Amps: -17.4	Watts: -5407
..........Volts: 310.9	Amps: -17.4	Watts: -5409
..........Volts: 310.6	Amps: -17.4	Watts: -5404
.........Volts: 310.9	Amps: -17.4	Watts: -5409
..........Volts: 310.9	Amps: -17.4	Watts: -5409
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 310.7	Amps: -17.4	Watts: -5406
..........Volts: 310.8	Amps: -17.4	Watts: -5407
..........Volts: 310.7	Amps: -17.4	Watts: -5406
..........Volts: 310.7	Amps: -17.4	Watts: -5406
..........Volts: 311.2	Amps: -17.4	Watts: -5414
..........Volts: 311.6	Amps: -17.4	Watts: -5421
..........Volts: 311.2	Amps: -17.4	Watts: -5414
..........Volts: 310.6	Amps: -17.4	Watts: -5404
..........Volts: 310.9	Amps: -17.4	Watts: -5409
..........Volts: 311.1	Amps: -17.4	Watts: -5413
..........Volts: 310.5	Amps: -17.4	Watts: -5402
..........Volts: 311.1	Amps: -17.4	Watts: -5413
..........Volts: 311.3	Amps: -17.4	Watts: -5416
..........Volts: 310.9	Amps: -17.4	Watts: -5409
..........Volts: 311.2	Amps: -17.4	Watts: -5414
.........Volts: 310.7	Amps: -17.4	Watts: -5406
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 311.5	Amps: -17.4	Watts: -5420
..........Volts: 311.4	Amps: -17.4	Watts: -5418
..........Volts: 310.6	Amps: -17.4	Watts: -5404
..........Volts: 311.1	Amps: -17.4	Watts: -5413
..........Volts: 311.4	Amps: -17.4	Watts: -5418
..........Volts: 311.4	Amps: -17.4	Watts: -5418
..........Volts: 311.1	Amps: -17.4	Watts: -5413
..........Volts: 310.9	Amps: -17.4	Watts: -5409
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 311.2	Amps: -17.4	Watts: -5414
..........Volts: 311.0	Amps: -17.4	Watts: -5411
...........Volts: 310.8	Amps: -17.4	Watts: -5407
..........Volts: 311.3	Amps: -17.4	Watts: -5416
..........Volts: 311.5	Amps: -17.4	Watts: -5420
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 311.7	Amps: -17.4	Watts: -5423
..........Volts: 311.5	Amps: -17.4	Watts: -5420
..........Volts: 311.7	Amps: -17.4	Watts: -5423
..........Volts: 311.2	Amps: -17.4	Watts: -5414
..........Volts: 311.1	Amps: -17.4	Watts: -5413
..........Volts: 311.6	Amps: -17.4	Watts: -5421
..........Volts: 311.2	Amps: -17.4	Watts: -5414
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 311.3	Amps: -17.4	Watts: -5416
..........Volts: 311.6	Amps: -17.3	Watts: -5390
